Title,Place of Publication,Publisher,Date Issued,Subject - Topic,Subject - Geographic,Subject - Name [personal],Subject - Name [corporate],Abstract (Description),Note [content] (Note),Contributing Repository
"Port of Lake Charles, La.",,,Circa 1946,Postcards--Louisiana--Lake Charles; Harbors--Louisiana--Lake Charles,Lake Charles (La.)--Aerial views,,Lake Charles Harbor and Terminal District (La.),"Black and white aerial photographic postcard of the Port of Lake Charles, La.",,LSU Libraries. Special Collections
"Post Office, Bay St. Louis, Miss.",,,Circa 1940,Postcards--Mississippi--Bay Saint Louis; Post office buildings--Mississippi--Bay Saint Louis,,,,"Black and white photographic postcard of the U.S. Post Office in Bay St. Louis, Miss.",,LSU Libraries. Special Collections
"Post Office, St. Martinville, La.",Saint Martinville (La.),Louis J. Fournet Drug Store,Circa 1930,Postcards--Louisiana--Saint Martinville; Post office buildings--Louisiana--Saint Martinville,,,,"Black and white photographic postcard of the U.S. Post Office in St. Martinville, La.",,LSU Libraries. Special Collections
"Race Between the ""Natchez"" and the ""Robert E. Lee""",Milwaukee (Wis.),E.C. Kropp Co.,Circa 1930,Postcards--Louisiana--New Orleans; Steamboats--Louisiana--New Orleans,Mississippi River,,Robert E. Lee (Steamboat); Natchez (Steamboat),"Color picture postcard of the 1870 steamboat race between the ""Natchez"" and the ""Robert E. Lee"" on the Mississippi River.",,LSU Libraries. Special Collections
"Rene Beauregard House, Visitor Center",Williamsburg (Va.),"Walter H. Miller & Co., Inc.",Circa 1950,Postcards--Louisiana--Chalmette; Mansions--Louisiana--Chalmette; Visitors' centers--Louisiana--Chalmette,"Chalmette Unit, Jean Lafitte National Historical Park and Preserve (La.)",,,"Color picture postcard of the Rene Beauregard House in Chalmette, La.",,LSU Libraries. Special Collections
Portrait of General Lee,Williamsburg (Va.),"Walter H. Miller & Co., Inc.",Circa 1950,Postcards,,"Lee, Robert E. (Robert Edward), 1807-1870--Portraits",,Color picture postcard of portrait of Confederate General Robert E. Lee.,,LSU Libraries. Special Collections
"Robert E. Lee, Lieutenant of Engineers, U. S. Army",Williamsburg (Va.),"Walter H. Miller & Co., Inc.",Circa 1950,Postcards; United States. Army--Officers,,"Lee, Robert E. (Robert Edward), 1807-1870--Portraits",,"Color picture postcard of portrait of U. S. Army Lieutenant of Engineers, Robert E. Lee.",,LSU Libraries. Special Collections
"Ruins of Fort Livingston, Grande Terre, La.",,,1933,Postcards--Louisiana--Grand Terre Island; Fortification--Louisiana--Grand Terre Island,Grand Terre Island (La.),,,"Black and white illustrated postcard of the ruins of Fort Livingston on Grand Terre Island, La.",,LSU Libraries. Special Collections
"School of Law, Louisiana State University, Baton Rouge, La.",Baton Rouge (La.),Harris News Agency,Circa 1938,Postcards--Louisiana--Baton Rouge; Law schools--Louisiana--Baton Rouge,,,Louisiana State University and Agricultural and Mechanical College. Law School,"Color picture postcard of the School of Law at Louisiana State University, Baton Rouge, La.",,LSU Libraries. Special Collections
"Slattery Building, Shreveport, La., 17 Stories",Shreveport (La.),Shreveport News Agency,Circa 1940,Postcards--Louisiana--Shreveport; Tall buildings--Louisiana--Shreveport; Gothic revival (Architecture)--Louisiana--Shreveport,,,"Slattery Building (Shreveport, La.)","Color picture postcard of the Slattery Building on Texas St., Shreveport, La.",,LSU Libraries. Special Collections
"Statue of Evangeline, St. Martinville, La.",Saint Martinville (La.),Louis J. Fournet Drug Store,Circa 1950,Postcards--Louisiana--Saint Martinville; Statues--Louisiana--Saint Martinville; Sepulchral monuments--Louisiana--Saint Martinville,,,,"Black and white picture postcard of the grave and statue of Evangeline in St. Martinville, La.",,LSU Libraries. Special Collections
"Statue of St. Martin of Tours, St. Martinville, La.",Saint Martinville (La.),Louis J. Fournet Drug Store,Circa 1950,Postcards--Louisiana--Saint Martinville; Statues--Louisiana--Saint Martinville,,"Martin, Saint, Bishop of Tours, approximately 316-397--Statues--Louisiana--Saint Martinville",,"Black and white photographic postcard of statue of St. Martin de Tours in St. Martinville, La.",,LSU Libraries. Special Collections
"Sun Parlors, Afton Villa, St. Francisville, La.","Brooklyn (New York, N.Y.)",The Albertype Co.,Circa 1950,Postcards--Louisiana--Saint Francisville; Sunspaces--Louisiana--Saint Francisville; Plantations--Louisiana,,,"Afton Villa Plantation (Saint Francisville, La.)","Color photographic postcard of sun parlors in Afton Villa in St. Francisville, La.",,LSU Libraries. Special Collections
"The Cottage, Baton Rouge, La.",Baton Rouge (La.),Harris News Agency,Circa 1930,Postcards--Louisiana--Baton Rouge; Sugar plantations--Louisiana--Baton Rouge,,,"Cottage Plantation (Baton Rouge, La.)","Color picture postcard of the ""The Cottage"" Plantation House, Baton Rouge, La.",,LSU Libraries. Special Collections
"The Famous Steamboat ""Robert E. Lee"", Loading Cotton, New Orleans, La.",New Orleans (La.),A. Hirschwitz,1945,Postcards--Louisiana--New Orleans; Steamboats--Louisiana--New Orleans; Docks--Louisiana--New Orleans,Mississippi River,,Robert E. Lee (Steamboat),"Color picture postcard of the ""Robert E. Lee"" steamboat at a cotton loading dock in New Orleans, La.",,LSU Libraries. Special Collections
"The French House, Louisiana State University, Baton Rouge, La.",Baton Rouge (La.),Harris News Agency,1945,"Postcards--Louisiana--Baton Rouge; Architecture, French--Louisiana--Baton Rouge",,,"French House (Baton Rouge, La.)","Color picture postcard of the French House at Louisiana State University, Baton Rouge, La.",,LSU Libraries. Special Collections
"The State Capitol at Night, Baton Rouge, La.",Baton Rouge (La.),Harris News Agency,Circa 1930,Postcards--Louisiana--Baton Rouge; Art deco (Architecture)--Louisiana--Baton Rouge,,,"Louisiana State Capitol (Baton Rouge, La.)","Color picture postcard of the Louisiana State Capitol at night in Baton Rouge, La.",,LSU Libraries. Special Collections
"U. S. Coast Guard Station, Grand Isle, La.",,,1933,Postcards--Louisiana--Grand Isle,"U.S. Coast Guard Station (Grand Isle, La.)",,United States. Coast Guard,"Black and white illustrated postcard of the U. S. Coast Guard station at Grand Isle, La.",,LSU Libraries. Special Collections
"Uncle Melton: Gate Keeper at Afton Villa, Famous Ante Bellum Home.",New York (N.Y.),"Eagle Post Card View Co., Inc.",Circa 1930,Postcards--Louisiana--Saint Francisville; Plantations--Louisiana--Saint Francisville; African Americans--Employment--Louisiana--Saint Francisville,,,"Afton Villa Plantation (Saint Francisville, La.)","Black and white photographic postcard of African American gatekeeper at Afton Villa Plantation, St. Francisville, La.",,LSU Libraries. Special Collections
(Bridge Postcard),,,Circa 1930,Postcards; Bridge failures; Bridges,,,,Black and white photographic postcard of damaged bridge.,,LSU Libraries. Special Collections
(Houses Near Water),,,Circa 1930,Postcards; Bayous,,,,Black and white photographic postcard of houses near water and their reflection.,,LSU Libraries. Special Collections
(Unnamed Plantation),,,Circa 1930,Postcards; Plantations,,,,Black and white photographic postcard of plantation house.,,LSU Libraries. Special Collections
"Unloading Bananas, From Ship Side, New Orleans, La.",New Orleans (La.),Louisiana News Company,1945,Postcards--Louisiana--New Orleans; Banana trade--Louisiana--New Orleans; Bananas--Louisiana--New Orleans,,,,"Color picture postcard of bananas unloading from ship in New Orleans, La.",,LSU Libraries. Special Collections
"Views from Grand Isle, Louisiana from pen and ink drawings",,,1933,Postcards--Louisiana--Grand Isle,Grand Isle (La.),,,"Black and white illustrated envelope packaging for a set of Grand Isle, La. Postcards by George Izvolsky",,LSU Libraries. Special Collections
"Washington-Youree Hotel, Shreveport, La.",Shreveport (La.),Shreveport News Agency,Circa 1935,Postcards--Louisiana--Shreveport; Hotels--Louisiana--Shreveport,,,"Washington-Youree Hotel (Shreveport, La.)","Color picture postcard of Washington-Youree Hotel in Shreveport, La.",,LSU Libraries. Special Collections
"Wind's Playmates, Grand Isle, La.",,,1933,Postcards--Louisiana--Grand Isle; Winds--Louisiana--Grand Isle,Grand Isle (La.),,,"Black and white illustrated postcard of trees blowing in wind on Grand Isle, La.",,LSU Libraries. Special Collections
